g_m,energy,latency,w_a,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
1.1,1.40816,0.0142474,57.4,192,2.027,25,72,72,1,1,9759212694,83354806,20018006,"[216, 360, 792, 1584]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.2000000000000002,1.3915899999999999,0.0140772,57.4,192,2.027,25,72,80,1,1,10025693782,86317382,20093526,"[216, 360, 800, 1600]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 80, 80]"
1.3000000000000003,1.38034,0.0138932,57.4,192,2.027,25,72,88,1,1,10072160406,86320054,20018006,"[216, 360, 792, 1584]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 88, 88]"
1.4000000000000004,1.30519,0.0127642,57.4,192,2.027,25,72,96,1,1,9894638550,83351686,19791446,"[216, 360, 768, 1536]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 96, 96]"
1.5000000000000004,1.4553699999999998,0.0136425,57.4,192,2.027,25,72,104,1,1,10660911936,89732640,20251904,"[216, 360, 832, 1560]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 104, 104]"
1.6000000000000005,1.39953,0.0131179,57.4,192,2.027,25,72,112,1,1,10426170774,89241190,19942486,"[216, 360, 784, 1568]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 112, 112]"
1.7000000000000006,1.4407999999999999,0.0133502,57.4,192,2.027,25,72,120,1,1,11056489092,93167572,20305316,"[216, 360, 840, 1560]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 120, 120]"
1.8000000000000007,1.33625,0.012485699999999999,57.4,192,2.027,25,72,128,1,1,10501567446,89102470,19791446,"[216, 360, 768, 1536]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 128, 128]"
1.9000000000000008,1.48308,0.013360799999999999,57.4,192,2.027,25,72,136,1,1,11376971286,100009510,20244566,"[216, 360, 816, 1632]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 136, 136]"
2.000000000000001,1.50105,0.013419,57.4,192,2.027,25,72,144,1,1,11848339674,100788778,20498714,"[216, 360, 864, 1584]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 144, 144]"
1.0,0.39586200000000005,0.00528563,43.9,104,2.01,17,32,32,1,1,1757981152,15004544,7740960,"[96, 192, 416, 832]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.1,0.380436,0.00510492,43.9,104,2.01,17,32,32,1,1,1757981152,15004544,7740960,"[96, 192, 416, 832]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.2000000000000002,0.411587,0.00497623,43.9,104,2.01,17,32,32,1,1,1757981152,15004544,7740960,"[96, 192, 416, 832]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.3000000000000003,0.44041699999999995,0.00532498,43.9,104,2.01,17,32,40,1,1,1773687684,15400548,7669916,"[96, 192, 400, 840]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.4000000000000004,0.433802,0.00524878,43.9,104,2.01,17,32,40,1,1,1773687684,15400548,7669916,"[96, 192, 400, 840]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.5000000000000004,0.40752,0.00514525,43.9,104,2.01,17,32,48,1,1,1904810508,15971692,7804508,"[96, 192, 432, 816]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.6000000000000005,0.406375,0.005099599999999999,43.9,104,2.01,17,32,48,1,1,1904810508,15971692,7804508,"[96, 192, 432, 816]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.7000000000000006,0.47245600000000004,0.00574824,43.9,104,2.01,17,32,48,1,1,1904810508,15971692,7804508,"[96, 192, 432, 816]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.8000000000000007,0.365348,0.00500375,43.9,104,2.01,17,32,56,1,1,1857499166,16257886,7630646,"[96, 192, 392, 840]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
1.9000000000000008,0.36309600000000003,0.00494226,43.9,104,2.01,17,32,56,1,1,1857499166,16257886,7630646,"[96, 192, 392, 840]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
2.000000000000001,0.396934,0.00505258,43.9,104,2.01,17,32,64,1,1,1877908680,16419048,7583880,"[96, 192, 384, 832]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 64, 64]"
1.0,0.741385,0.00788413,61.7,88,2.274,20,48,48,1,1,2853650640,38357872,8313104,"[96, 192, 480, 1056]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.1,0.752491,0.00819969,61.7,88,2.274,20,48,48,1,1,2853650640,38357872,8313104,"[96, 192, 480, 1056]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.2000000000000002,0.6723279999999999,0.008589339999999999,61.7,88,2.274,20,48,56,1,1,3026328902,40250470,8430198,"[96, 192, 504, 1064]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.3000000000000003,0.644751,0.00855453,61.7,88,2.274,20,48,56,1,1,3026328902,40250470,8430198,"[96, 192, 504, 1064]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.4000000000000004,0.576703,0.00750787,61.7,88,2.274,20,48,64,1,1,3038609720,39109848,8397624,"[96, 192, 512, 1024]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 64, 64]"
1.5000000000000004,0.678963,0.00786157,61.7,88,2.274,20,48,72,1,1,3225921738,43165258,8457050,"[96, 192, 504, 1080]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.6000000000000005,0.689177,0.00794667,61.7,88,2.274,20,48,72,1,1,3225921738,43165258,8457050,"[96, 192, 504, 1080]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.7000000000000006,0.644952,0.007778279999999999,61.7,88,2.274,20,48,80,1,1,3126324236,41288908,8286252,"[96, 192, 480, 1040]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
