Mi9,CPU,GPU,DSP,CPU+GPU,CPU+DSP,GPU+DSP,CPU+GPU+DSP
ResNet34,6.53328,3.41778,1.22906,5.93976,5.80988,2.85494,6.52355
ResNet50,5.88473,3.9099,1.43196,6.13264,5.79176,3.31147,6.78365
RegNetX-1.6GF,5.16983,3.29857,1.21508,5.9886,5.3782,3.06072,5.89702
RegNetX-4GF,5.46007,3.22094,1.2458,6.02315,5.49125,3.31997,6.00132
EfficientNet-Lite4,5.29258,3.81397,1.85342,6.59413,6.21693,2.90313,
EfficientNet-B5,5.41174,4.09172,1.9797,6.68711,6.56501,3.0097,
