w_m,energy,latency,w_a,w_0,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
2.899,0.505543,0.00631682,72.4,56,17,96,96,1,1,3440522238,42004190,7404158,"[56, 192, 480, 1344]","[1, 3, 7, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 96, 96, 96]"
2.949,0.494954,0.00643384,72.4,56,17,96,96,1,1,3621040566,46325462,7508342,"[56, 192, 480, 1440]","[1, 3, 7, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 96, 96, 96]"
2.999,0.489029,0.0063221,72.4,56,17,96,96,1,1,3685836870,44653286,7667654,"[56, 192, 480, 1536]","[1, 3, 8, 5]","[1.0, 1.0, 1.0, 1.0]","[56, 96, 96, 96]"
3.049,0.492621,0.0064383,72.4,56,17,96,96,1,1,3685836870,44653286,7667654,"[56, 192, 480, 1536]","[1, 3, 8, 5]","[1.0, 1.0, 1.0, 1.0]","[56, 96, 96, 96]"
2.0,0.41152,0.0056832,29.4,80,25,32,32,1,1,1565305928,18253672,7064136,"[64, 160, 320, 640]","[2, 3, 8, 12]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.05,0.418269,0.00575998,29.4,80,25,32,32,1,1,1696176464,19711536,7462672,"[64, 160, 320, 704]","[2, 4, 8, 11]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.099,0.431582,0.00590419,29.4,80,25,32,32,1,1,1844645216,20458496,7795360,"[64, 160, 352, 736]","[2, 4, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.149,0.485759,0.00598633,29.4,80,25,32,32,1,1,2062589904,22380336,8205232,"[64, 160, 384, 800]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.199,0.452275,0.00617323,29.4,80,25,32,32,1,1,2245474736,21966928,8984240,"[64, 192, 384, 832]","[2, 5, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.249,0.508024,0.00576039,29.4,80,25,32,32,1,1,2466731352,23356664,9398616,"[64, 192, 416, 896]","[2, 5, 11, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.299,0.544126,0.0057751,29.4,80,25,32,32,1,1,2529838120,21456200,9683176,"[64, 192, 416, 960]","[2, 5, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.349,0.496137,0.006399879999999999,29.4,80,25,32,32,1,1,2753834400,21380416,10313376,"[64, 192, 448, 1024]","[2, 6, 13, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.399,0.473685,0.00641551,29.4,80,25,32,32,1,1,2783227312,20094160,10466544,"[64, 192, 448, 1088]","[2, 6, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.449,0.50612,0.00648597,29.4,80,25,32,32,1,1,3012295872,19792288,10924416,"[64, 192, 480, 1184]","[2, 6, 15, 2]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.299,0.465055,0.0070408,48.9,64,23,48,48,1,1,1825269408,26976736,6006176,"[48, 144, 336, 768]","[1, 3, 6, 13]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.349,0.510744,0.00746033,48.9,64,23,48,48,1,1,1936081824,29696224,6108080,"[48, 144, 336, 816]","[1, 3, 6, 13]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.399,0.521269,0.00776035,48.9,64,23,48,48,1,1,2167079856,31564240,6515504,"[48, 144, 384, 864]","[1, 3, 7, 12]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.449,0.5485099999999999,0.00793875,48.9,64,23,48,48,1,1,2398918200,37249048,6705080,"[48, 144, 384, 960]","[1, 3, 7, 12]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.499,0.545997,0.00781065,48.9,64,23,48,48,1,1,2491635312,37842832,6876704,"[48, 144, 384, 1008]","[1, 3, 8, 11]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.549,0.5983780000000001,0.00696396,48.9,64,23,48,48,1,1,2725952868,38645572,7410596,"[48, 144, 432, 1056]","[1, 4, 8, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.599,0.6191660000000001,0.007525039999999999,48.9,64,23,48,48,1,1,3021172896,41671936,8093504,"[48, 192, 432, 1104]","[1, 4, 8, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.649,0.625899,0.00734894,48.9,64,23,48,48,1,1,3201276024,44020504,8331272,"[48, 192, 432, 1200]","[1, 4, 9, 9]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.699,0.615172,0.00731551,48.9,64,23,48,48,1,1,3471510756,44404612,8794724,"[48, 192, 480, 1248]","[1, 4, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.749,0.616758,0.0072704300000000005,48.9,64,23,48,48,1,1,3607639380,45237364,9010964,"[48, 192, 480, 1344]","[1, 4, 11, 7]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.799,0.625669,0.007293249999999999,48.9,64,23,48,48,1,1,3704506476,47591884,9070172,"[48, 192, 480, 1392]","[1, 4, 11, 7]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.849,0.658242,0.00763984,48.9,64,23,48,48,1,1,4082294016,48953632,9627872,"[48, 192, 528, 1488]","[1, 4, 12, 6]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.899,0.6263759999999999,0.00722288,48.9,64,23,48,48,1,1,4031203404,44754700,9904076,"[48, 192, 528, 1536]","[1, 5, 12, 5]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.949,0.643201,0.007419609999999999,48.9,64,23,48,48,1,1,4386950580,44223124,10468532,"[48, 192, 576, 1632]","[1, 5, 13, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.999,0.6453369999999999,0.00790066,48.9,64,23,48,48,1,1,4368166620,40226428,10627484,"[48, 192, 576, 1728]","[1, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
3.049,0.650018,0.00764864,48.9,64,23,48,48,1,1,4471818540,42633292,10688972,"[48, 192, 576, 1824]","[1, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
2.0,0.484923,0.0062980200000000005,33.7,88,24,112,112,1,1,3195401284,26699924,8520900,"[88, 224, 336, 672]","[2, 3, 8, 11]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.05,0.530655,0.006595419999999999,33.7,88,24,112,112,1,1,3590675184,30417120,9136368,"[88, 224, 336, 784]","[2, 4, 8, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.099,0.522267,0.0064820599999999996,33.7,88,24,112,112,1,1,3602102208,28707888,9218128,"[88, 224, 336, 784]","[2, 4, 9, 9]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.149,0.561338,0.00715935,33.7,88,24,112,112,1,1,4403997260,35109948,10202412,"[88, 224, 448, 896]","[2, 4, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.199,0.5481459999999999,0.00714592,33.7,88,24,112,112,1,1,4447950876,33149836,10333564,"[88, 224, 448, 896]","[2, 4, 11, 7]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.249,0.560589,0.00719396,33.7,88,24,112,112,1,1,4741435648,34384720,10849408,"[88, 224, 448, 1008]","[2, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.299,0.5687960000000001,0.00725223,33.7,88,24,112,112,1,1,4904525540,35205652,11068900,"[88, 224, 448, 1120]","[2, 5, 12, 5]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.349,0.5467369999999999,0.0069096,33.7,88,24,112,112,1,1,4892934044,31889164,11166844,"[88, 224, 448, 1120]","[2, 5, 13, 4]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.399,0.571874,0.006629159999999999,33.7,88,24,112,112,1,1,5063606084,30128244,11599668,"[88, 224, 448, 1232]","[2, 6, 13, 3]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.449,0.630734,0.00704546,33.7,88,24,112,112,1,1,6056106516,33327524,12747892,"[88, 224, 560, 1344]","[2, 6, 14, 2]","[1.0, 1.0, 1.0, 1.0]","[88, 112, 112, 112]"
2.199,0.498713,0.0061262800000000004,48.8,72,22,40,40,1,1,1818983714,24350306,6845826,"[80, 160, 360, 760]","[1, 3, 6, 12]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.249,0.477389,0.006004730000000001,48.8,72,22,40,40,1,1,1901694704,26381056,6924816,"[80, 160, 360, 800]","[1, 3, 6, 12]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.299,0.500919,0.0061355,48.8,72,22,40,40,1,1,2174680384,29606496,7360816,"[80, 160, 400, 880]","[1, 3, 7, 11]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.349,0.542396,0.00674158,48.8,72,22,40,40,1,1,2252282674,29813186,7533186,"[80, 160, 400, 920]","[1, 3, 8, 10]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.399,0.549027,0.0065634199999999995,48.8,72,22,40,40,1,1,2412312154,33452586,7808266,"[80, 160, 400, 1000]","[1, 4, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.449,0.560889,0.0066501400000000006,48.8,72,22,40,40,1,1,2603782644,33917316,8176836,"[80, 160, 440, 1040]","[1, 4, 8, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.499,0.569061,0.00667117,48.8,72,22,40,40,1,1,2733557874,35076946,8392466,"[80, 160, 440, 1120]","[1, 4, 9, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.549,0.618498,0.00697034,48.8,72,22,40,40,1,1,3212440104,40192056,9248456,"[80, 200, 480, 1200]","[1, 4, 9, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.599,0.584133,0.00689541,48.8,72,22,40,40,1,1,3320094284,40459836,9452076,"[80, 200, 480, 1280]","[1, 4, 10, 7]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.649,0.599723,0.00707781,48.8,72,22,40,40,1,1,3542429324,39579916,9879196,"[80, 200, 520, 1320]","[1, 4, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.699,0.5898329999999999,0.00696238,48.8,72,22,40,40,1,1,3580450804,37637236,10229116,"[80, 200, 520, 1400]","[1, 5, 11, 5]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.749,0.5962609999999999,0.00698556,48.8,72,22,40,40,1,1,3852057884,36925676,10705276,"[80, 200, 560, 1480]","[1, 5, 12, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.799,0.609004,0.00703222,48.8,72,22,40,40,1,1,3952563864,39302536,10768376,"[80, 200, 560, 1560]","[1, 5, 12, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.849,0.630467,0.00730044,48.8,72,22,40,40,1,1,4266493934,38077886,11563806,"[80, 200, 600, 1680]","[2, 4, 13, 3]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.899,0.623327,0.00722853,48.8,72,22,40,40,1,1,4197765564,32747356,11707676,"[80, 200, 600, 1760]","[2, 4, 14, 2]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.949,0.6064160000000001,0.00726508,48.8,72,22,40,40,1,1,4423150544,28204896,12212736,"[80, 200, 640, 1840]","[2, 4, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.549,0.81313,0.0106363,66.4,64,25,120,120,1,1,3964479398,66959318,7128734,"[64, 120, 360, 1080]","[1, 2, 7, 15]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.599,0.797138,0.0106664,66.4,64,25,120,120,1,1,4377522398,68914238,7717334,"[64, 120, 480, 1080]","[1, 3, 6, 15]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.649,0.82659,0.0106469,66.4,64,25,120,120,1,1,4864435718,77178278,8112614,"[64, 120, 480, 1200]","[1, 3, 7, 14]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.699,0.8254020000000001,0.0106786,66.4,64,25,120,120,1,1,4864435718,77178278,8112614,"[64, 120, 480, 1200]","[1, 3, 7, 14]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.749,0.848869,0.0112622,66.4,64,25,120,120,1,1,5320201538,84706178,8472314,"[64, 120, 480, 1320]","[1, 3, 8, 13]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.799,0.898089,0.011732699999999999,66.4,64,25,120,120,1,1,5824726658,96933698,8727074,"[64, 120, 480, 1440]","[1, 3, 8, 13]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.849,0.891787,0.011423,66.4,64,25,120,120,1,1,6297102548,92095988,10019924,"[64, 240, 480, 1440]","[1, 3, 9, 12]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.899,0.961622,0.012086399999999999,66.4,64,25,120,120,1,1,6795269918,104185838,10256894,"[64, 240, 480, 1560]","[1, 3, 9, 12]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.949,1.08765,0.0122473,66.4,64,25,120,120,1,1,7966140488,114238328,11328824,"[64, 240, 600, 1680]","[1, 3, 10, 11]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.999,0.9752540000000001,0.0115469,66.4,64,25,120,120,1,1,7892785088,105760688,11644544,"[64, 240, 600, 1680]","[1, 4, 10, 10]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
3.049,1.09703,0.012053900000000001,66.4,64,25,120,120,1,1,8364751358,117179198,11845934,"[64, 240, 600, 1800]","[1, 4, 10, 10]","[1.0, 1.0, 1.0, 1.0]","[64, 120, 120, 120]"
2.05,0.490341,0.006137419999999999,44.1,88,22,40,40,1,1,1941948964,23257956,7353116,"[80, 200, 360, 760]","[1, 3, 7, 11]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.099,0.489191,0.00595743,44.1,88,22,40,40,1,1,2158979204,25433876,7857476,"[80, 200, 400, 800]","[1, 4, 6, 11]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.149,0.498846,0.0060221400000000005,44.1,88,22,40,40,1,1,2320630884,27699316,8108836,"[80, 200, 400, 880]","[1, 4, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.199,0.553424,0.0066186199999999995,44.1,88,22,40,40,1,1,2528795124,28562516,8495196,"[80, 200, 440, 920]","[1, 4, 8, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.249,0.538704,0.00665344,44.1,88,22,40,40,1,1,2669675304,29999016,8728616,"[80, 200, 440, 1000]","[1, 4, 9, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.299,0.5778669999999999,0.0069462099999999995,44.1,88,22,40,40,1,1,2990462784,34385616,9364736,"[80, 200, 480, 1080]","[2, 3, 9, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.349,0.579152,0.00694059,44.1,88,22,40,40,1,1,3109782364,34495436,9773956,"[80, 200, 480, 1160]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.399,0.579017,0.006782130000000001,44.1,88,22,40,40,1,1,3338175904,34135296,10195296,"[80, 200, 520, 1200]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.449,0.562137,0.006638,44.1,88,22,40,40,1,1,3423230734,33475006,10398766,"[80, 200, 520, 1280]","[2, 4, 11, 5]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.499,0.570366,0.00666533,44.1,88,22,40,40,1,1,3720839564,33436316,10892716,"[80, 200, 560, 1360]","[2, 4, 12, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.549,0.609173,0.00667129,44.1,88,22,40,40,1,1,3919444244,30441716,11809076,"[80, 240, 560, 1440]","[2, 5, 12, 3]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.599,0.597201,0.00700012,44.1,88,22,40,40,1,1,4215407264,29164336,12322416,"[80, 240, 600, 1560]","[2, 5, 13, 2]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.649,0.5817599999999999,0.00689975,44.1,88,22,40,40,1,1,4157633344,24113296,12472216,"[80, 240, 600, 1640]","[2, 5, 14, 1]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.549,0.454241,0.00643497,59.9,48,20,80,80,1,1,1962127012,29452740,5484452,"[48, 160, 320, 800]","[1, 2, 5, 12]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.599,0.475248,0.00677382,59.9,48,20,80,80,1,1,1962127012,29452740,5484452,"[48, 160, 320, 800]","[1, 2, 5, 12]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.649,0.476328,0.00662747,59.9,48,20,80,80,1,1,2132594692,32038180,5700532,"[48, 160, 320, 880]","[1, 2, 6, 11]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.699,0.49487000000000003,0.0066539799999999994,59.9,48,20,80,80,1,1,2322211772,36649500,5846652,"[48, 160, 320, 960]","[1, 2, 6, 11]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.749,0.470464,0.00634733,59.9,48,20,80,80,1,1,2282914972,34136060,5892892,"[48, 160, 320, 960]","[1, 2, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.799,0.51654,0.0070921099999999996,59.9,48,20,80,80,1,1,2726126252,40191020,6419852,"[48, 160, 400, 1040]","[1, 2, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.849,0.520438,0.00707444,59.9,48,20,80,80,1,1,2891338832,41223600,6764592,"[48, 160, 400, 1120]","[1, 3, 7, 9]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.899,0.567624,0.00733712,59.9,48,20,80,80,1,1,3080024512,45804960,6886992,"[48, 160, 400, 1200]","[1, 3, 7, 9]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.949,0.546029,0.00705832,59.9,48,20,80,80,1,1,3015095512,42023160,6944792,"[48, 160, 400, 1200]","[1, 3, 8, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.999,0.564061,0.00751612,59.9,48,20,80,80,1,1,3192129892,46319140,7055332,"[48, 160, 400, 1280]","[1, 3, 8, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
3.049,0.62198,0.00807784,59.9,48,20,80,80,1,1,3643419972,48235940,7686932,"[48, 160, 480, 1360]","[1, 3, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[48, 80, 80, 80]"
2.0,0.319162,0.0040837700000000005,34.6,80,19,24,24,1,1,1184174436,12393460,6334340,"[72, 168, 312, 648]","[1, 4, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.05,0.331841,0.00414636,34.6,80,19,24,24,1,1,1290780330,13043002,6599138,"[72, 168, 336, 696]","[1, 4, 7, 7]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.099,0.349496,0.00419285,34.6,80,19,24,24,1,1,1412921916,13447276,7160108,"[72, 168, 360, 744]","[2, 3, 8, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.149,0.353142,0.00419897,34.6,80,19,24,24,1,1,1456124796,13257580,7306916,"[72, 168, 360, 792]","[2, 3, 9, 5]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.199,0.354231,0.00409202,34.6,80,19,24,24,1,1,1569599586,12904402,7768802,"[72, 168, 384, 840]","[2, 4, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.249,0.371465,0.004184510000000001,34.6,80,19,24,24,1,1,1695876912,12918688,8076896,"[72, 168, 408, 912]","[2, 4, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.299,0.388182,0.00525046,34.6,80,19,24,24,1,1,1900485054,12575902,8693102,"[72, 192, 432, 984]","[2, 4, 11, 2]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.349,0.36565,0.00488858,34.6,80,19,24,24,1,1,1895419824,10278016,9015560,"[72, 192, 432, 1032]","[2, 5, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.099,0.47008,0.0063169,65.5,96,18,80,80,1,1,2292502084,30162756,6382436,"[80, 160, 400, 880]","[1, 2, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.149,0.49197399999999997,0.00646616,65.5,96,18,80,80,1,1,3008061264,33310256,7864976,"[80, 240, 480, 960]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.199,0.50158,0.00654781,65.5,96,18,80,80,1,1,3191831044,34834756,8116036,"[80, 240, 480, 1040]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.249,0.528856,0.006839850000000001,65.5,96,18,80,80,1,1,3351531024,38673136,8226576,"[80, 240, 480, 1120]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.299,0.51667,0.00659085,65.5,96,18,80,80,1,1,3494676504,39200696,8442056,"[80, 240, 480, 1200]","[1, 3, 7, 7]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.349,0.5665549999999999,0.0071683599999999995,65.5,96,18,80,80,1,1,3986153084,45001116,8933436,"[80, 240, 560, 1280]","[1, 3, 7, 7]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.399,0.577798,0.0073741300000000004,65.5,96,18,80,80,1,1,4124104764,44557916,9160476,"[80, 240, 560, 1360]","[1, 3, 8, 6]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.449,0.5655,0.0070891,65.5,96,18,80,80,1,1,4244180644,42210436,9598596,"[80, 240, 560, 1440]","[1, 4, 8, 5]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.499,0.584716,0.00697039,65.5,96,18,80,80,1,1,4765729624,42499896,10265176,"[80, 240, 640, 1520]","[1, 4, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.549,0.58889,0.0070154,65.5,96,18,80,80,1,1,4875656404,45062356,10328276,"[80, 240, 640, 1600]","[1, 4, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.599,0.566986,0.006786749999999999,65.5,96,18,80,80,1,1,4903799484,40945276,10519436,"[80, 240, 640, 1680]","[1, 4, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.649,0.547009,0.00630512,65.5,96,18,80,80,1,1,4876492764,35444636,10686876,"[80, 240, 640, 1760]","[1, 4, 11, 2]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.699,0.584356,0.00667984,65.5,96,18,80,80,1,1,5423986524,31761596,11627036,"[80, 240, 720, 1920]","[1, 5, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.749,0.610307,0.00664694,65.5,96,18,80,80,1,1,5456396204,32357516,11654556,"[80, 240, 720, 2000]","[1, 5, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.349,0.42886,0.00529051,66.9,64,18,40,40,1,1,1657806944,23779056,6166096,"[80, 160, 360, 840]","[1, 2, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.399,0.429499,0.00512315,66.9,64,18,40,40,1,1,1732801034,25618826,6233226,"[80, 160, 360, 880]","[1, 2, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.449,0.441344,0.00547541,66.9,64,18,40,40,1,1,1958582364,27934236,6610076,"[80, 160, 400, 960]","[1, 2, 6, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.499,0.46215300000000004,0.0057355999999999996,66.9,64,18,40,40,1,1,2034522004,29792916,6671276,"[80, 160, 400, 1000]","[1, 2, 6, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.549,0.47899200000000003,0.005527809999999999,66.9,64,18,40,40,1,1,2113140044,31718796,6732476,"[80, 160, 400, 1040]","[1, 2, 6, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.599,0.49235399999999996,0.00560723,66.9,64,18,40,40,1,1,2327140824,33017416,7238136,"[80, 160, 440, 1120]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.649,0.5183450000000001,0.00579136,66.9,64,18,40,40,1,1,2484218404,36854196,7348676,"[80, 160, 440, 1200]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.699,0.5272089999999999,0.0060476900000000005,66.9,64,18,40,40,1,1,2632094144,36039296,7675736,"[80, 160, 480, 1240]","[1, 3, 7, 7]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.749,0.508464,0.00581243,66.9,64,18,40,40,1,1,2711940974,35609406,7861566,"[80, 160, 480, 1320]","[1, 3, 8, 6]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.799,0.54689,0.006112,66.9,64,18,40,40,1,1,3008089154,39913026,8168306,"[80, 160, 520, 1400]","[1, 3, 8, 6]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.849,0.521627,0.00597038,66.9,64,18,40,40,1,1,3175843084,38421836,8749956,"[80, 200, 520, 1480]","[1, 3, 9, 5]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.899,0.5503210000000001,0.00633976,66.9,64,18,40,40,1,1,3300929964,41428076,8824916,"[80, 200, 520, 1560]","[1, 3, 9, 5]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.949,0.5429660000000001,0.00618735,66.9,64,18,40,40,1,1,3493898344,39461976,9230216,"[80, 200, 560, 1640]","[1, 3, 10, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.999,0.547963,0.0062099799999999995,66.9,64,18,40,40,1,1,3559809474,41240226,9433986,"[80, 200, 560, 1720]","[1, 4, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
3.049,0.5553640000000001,0.00633892,66.9,64,18,40,40,1,1,3711999204,37609476,9827276,"[80, 200, 600, 1800]","[1, 4, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
